sample interval	    ECG	     BP	(C4-A1)	(nasal)	(chest)	    EOG	    EMG
            327	 -0.286	 87.060	 -0.008	 -0.404	 -0.129	 -0.119	  0.004
            328	 -0.320	 86.633	  0.000	 -0.402	 -0.129	 -0.122	 -0.003
            329	 -0.282	 86.099	 -0.009	 -0.404	 -0.129	 -0.123	 -0.005
            330	 -0.268	 85.779	  0.005	 -0.401	 -0.130	 -0.124	 -0.001
            331	 -0.262	 85.246	  0.001	 -0.401	 -0.130	 -0.125	  0.002
            332	 -0.264	 84.926	  0.002	 -0.399	 -0.131	 -0.125	  0.003
            333	 -0.276	 84.499	  0.002	 -0.400	 -0.131	 -0.126	  0.001
            334	 -0.296	 84.179	  0.008	 -0.400	 -0.132	 -0.126	  0.002
            335	 -0.284	 83.859	  0.006	 -0.399	 -0.132	 -0.127	  0.025
            336	 -0.282	 83.432	  0.013	 -0.398	 -0.132	 -0.125	 -0.011
            337	 -0.264	 83.005	  0.012	 -0.397	 -0.133	 -0.122	  0.006
            338	 -0.278	 82.792	  0.010	 -0.397	 -0.134	 -0.120	 -0.003
            339	 -0.300	 82.365	  0.005	 -0.396	 -0.135	 -0.119	 -0.003
            340	 -0.316	 82.152	  0.004	 -0.396	 -0.135	 -0.118	  0.007
            341	 -0.286	 81.725	 -0.000	 -0.393	 -0.136	 -0.116	  0.003
            342	 -0.298	 81.512	  0.005	 -0.392	 -0.136	 -0.117	  0.003
            343	 -0.306	 81.298	  0.002	 -0.391	 -0.136	 -0.115	  0.026
            344	 -0.344	 80.978	  0.002	 -0.388	 -0.136	 -0.116	 -0.007
            345	 -0.340	 80.765	 -0.008	 -0.388	 -0.137	 -0.118	  0.009
            346	 -0.384	 80.445	  0.000	 -0.387	 -0.137	 -0.119	 -0.001
            347	 -0.338	 80.231	 -0.004	 -0.386	 -0.137	 -0.119	 -0.008
            348	 -0.104	 80.018	 -0.006	 -0.385	 -0.137	 -0.114	 -0.001
            349	  0.200	 79.805	  0.008	 -0.384	 -0.138	 -0.119	  0.003
            350	  0.778	 79.591	  0.016	 -0.384	 -0.138	 -0.122	  0.007
            351	  1.468	 79.591	  0.039	 -0.382	 -0.138	 -0.130	  0.010
            352	  2.088	 79.165	  0.037	 -0.383	 -0.139	 -0.138	  0.012
            353	  2.178	 79.165	  0.046	 -0.381	 -0.139	 -0.140	  0.017
            354	  1.930	 78.738	  0.032	 -0.383	 -0.140	 -0.141	  0.021
            355	  1.330	 78.738	  0.029	 -0.382	 -0.140	 -0.138	  0.014
            356	  0.526	 78.631	  0.009	 -0.384	 -0.141	 -0.132	  0.007
            357	 -0.166	 78.524	  0.003	 -0.381	 -0.142	 -0.128	 -0.005
            358	 -0.440	 78.204	 -0.005	 -0.381	 -0.142	 -0.122	 -0.008
            359	 -0.730	 78.311	 -0.005	 -0.382	 -0.143	 -0.115	  0.002
            360	 -0.798	 77.884	 -0.007	 -0.381	 -0.143	 -0.112	 -0.000
            361	 -0.720	 77.778	  0.001	 -0.381	 -0.144	 -0.110	  0.001
            362	 -0.704	 77.564	 -0.003	 -0.380	 -0.145	 -0.108	 -0.003
            363	 -0.662	 77.458	 -0.009	 -0.379	 -0.146	 -0.106	 -0.002
            364	 -0.592	 77.244	 -0.006	 -0.380	 -0.146	 -0.105	  0.001
            365	 -0.550	 77.031	 -0.004	 -0.379	 -0.146	 -0.108	 -0.003
            366	 -0.510	 76.817	 -0.006	 -0.380	 -0.146	 -0.112	  0.004
            367	 -0.478	 76.604	  0.003	 -0.378	 -0.146	 -0.122	  0.002
            368	 -0.502	 76.604	 -0.001	 -0.379	 -0.147	 -0.130	  0.001
            369	 -0.502	 76.391	 -0.011	 -0.378	 -0.147	 -0.136	  0.003
            370	 -0.472	 76.177	 -0.006	 -0.379	 -0.147	 -0.140	  0.020
            371	 -0.466	 76.177	  0.000	 -0.378	 -0.148	 -0.143	 -0.010
            372	 -0.472	 75.964	 -0.001	 -0.377	 -0.148	 -0.144	  0.009
            373	 -0.462	 75.750	 -0.003	 -0.376	 -0.149	 -0.142	 -0.004
            374	 -0.446	 75.537	  0.000	 -0.373	 -0.149	 -0.139	 -0.003
            375	 -0.444	 75.430	  0.000	 -0.371	 -0.149	 -0.135	  0.003
            376	 -0.446	 75.324	  0.003	 -0.371	 -0.150	 -0.131	  0.004
            377	 -0.432	 75.004	  0.015	 -0.371	 -0.150	 -0.134	  0.003
            378	 -0.434	 74.790	 -0.002	 -0.369	 -0.150	 -0.138	 -0.000
            379	 -0.422	 74.577	  0.007	 -0.370	 -0.150	 -0.147	  0.015
            380	 -0.406	 74.470	  0.000	 -0.367	 -0.151	 -0.152	  0.008
            381	 -0.426	 74.257	 -0.000	 -0.367	 -0.152	 -0.153	 -0.001
            382	 -0.394	 74.150	  0.008	 -0.367	 -0.152	 -0.153	 -0.003
            383	 -0.394	 74.043	 -0.002	 -0.366	 -0.153	 -0.153	 -0.006
            384	 -0.364	 73.830	  0.008	 -0.366	 -0.153	 -0.151	 -0.005
            385	 -0.368	 73.617	 -0.004	 -0.365	 -0.153	 -0.150	  0.002
            386	 -0.366	 73.617	  0.004	 -0.366	 -0.154	 -0.150	  0.001
            387	 -0.352	 73.297	  0.001	 -0.364	 -0.154	 -0.145	 -0.006
            388	 -0.368	 73.403	  0.007	 -0.365	 -0.155	 -0.143	  0.000
            389	 -0.368	 73.297	  0.003	 -0.363	 -0.155	 -0.143	  0.004
            390	 -0.360	 73.190	  0.006	 -0.362	 -0.155	 -0.143	  0.002
            391	 -0.344	 73.190	  0.009	 -0.360	 -0.155	 -0.141	  0.004
            392	 -0.312	 73.297	  0.014	 -0.359	 -0.155	 -0.139	  0.022
            393	 -0.316	 73.510	 -0.002	 -0.357	 -0.155	 -0.134	  0.001
            394	 -0.306	 73.723	  0.012	 -0.354	 -0.155	 -0.133	  0.004
            395	 -0.300	 74.150	  0.003	 -0.355	 -0.155	 -0.133	 -0.005
            396	 -0.296	 74.897	  0.012	 -0.354	 -0.156	 -0.134	 -0.001
            397	 -0.304	 75.750	  0.002	 -0.354	 -0.156	 -0.135	  0.002
            398	 -0.290	 77.031	  0.019	 -0.353	 -0.158	 -0.140	  0.007
            399	 -0.296	 78.631	  0.012	 -0.352	 -0.158	 -0.141	  0.014
            400	 -0.280	 80.445	 -0.005	 -0.351	 -0.159	 -0.143	  0.006
            401	 -0.272	 82.579	 -0.018	 -0.350	 -0.160	 -0.139	  0.006
            402	 -0.300	 84.606	  0.016	 -0.350	 -0.160	 -0.134	 -0.006
            403	 -0.262	 87.166	 -0.006	 -0.346	 -0.162	 -0.130	  0.003
            404	 -0.268	 89.727	  0.004	 -0.347	 -0.162	 -0.128	  0.003
            405	 -0.236	 92.714	 -0.020	 -0.345	 -0.163	 -0.127	  0.030
            406	 -0.210	 95.488	  0.022	 -0.344	 -0.164	 -0.133	 -0.004
            407	 -0.204	 98.796	 -0.011	 -0.342	 -0.164	 -0.131	  0.011
            408	 -0.192	101.676	 -0.000	 -0.339	 -0.164	 -0.129	 -0.008
            409	 -0.196	104.984	  0.012	 -0.339	 -0.165	 -0.125	 -0.004
            410	 -0.186	108.184	 -0.003	 -0.338	 -0.165	 -0.123	  0.001
            411	 -0.168	111.492	  0.017	 -0.339	 -0.166	 -0.124	  0.006
            412	 -0.152	114.586	  0.010	 -0.339	 -0.166	 -0.125	  0.024
            413	 -0.136	117.787	  0.012	 -0.341	 -0.167	 -0.129	 -0.005
            414	 -0.128	120.667	  0.017	 -0.341	 -0.168	 -0.129	  0.015
            415	 -0.112	123.335	  0.005	 -0.340	 -0.168	 -0.128	 -0.005
            416	 -0.136	125.788	  0.006	 -0.340	 -0.169	 -0.128	  0.002
            417	 -0.098	128.242	  0.013	 -0.338	 -0.169	 -0.128	 -0.004
            418	 -0.112	130.376	  0.003	 -0.338	 -0.171	 -0.125	  0.005
            419	 -0.080	132.190	  0.001	 -0.335	 -0.171	 -0.122	  0.000
            420	 -0.100	133.790	  0.003	 -0.334	 -0.172	 -0.119	 -0.001
            421	 -0.100	135.071	  0.003	 -0.333	 -0.173	 -0.117	  0.002
            422	 -0.118	136.244	  0.008	 -0.330	 -0.173	 -0.115	  0.003
            423	 -0.112	137.204	  0.014	 -0.330	 -0.174	 -0.113	  0.032
            424	 -0.108	137.631	  0.007	 -0.329	 -0.174	 -0.112	 -0.003
            425	 -0.128	138.165	  0.006	 -0.330	 -0.174	 -0.110	  0.009
            426	 -0.090	138.485	  0.005	 -0.329	 -0.175	 -0.110	  0.001
            427	 -0.116	138.378	  0.002	 -0.331	 -0.175	 -0.112	 -0.005
            428	 -0.128	138.378	  0.004	 -0.329	 -0.176	 -0.112	  0.023
            429	 -0.150	138.058	  0.002	 -0.328	 -0.176	 -0.113	 -0.006
            430	 -0.154	138.058	  0.003	 -0.326	 -0.177	 -0.113	  0.009
            431	 -0.194	137.631	 -0.004	 -0.325	 -0.177	 -0.114	  0.003
            432	 -0.194	137.098	  0.002	 -0.324	 -0.177	 -0.110	 -0.009
            433	 -0.224	136.458	 -0.005	 -0.323	 -0.177	 -0.113	  0.008
            434	 -0.232	136.137	  0.013	 -0.322	 -0.177	 -0.117	 -0.000
            435	 -0.248	135.497	  0.016	 -0.321	 -0.177	 -0.124	 -0.003
            436	 -0.270	134.857	 -0.007	 -0.321	 -0.177	 -0.130	  0.003
            437	 -0.248	134.110	 -0.001	 -0.320	 -0.178	 -0.131	  0.005
            438	 -0.276	133.470	  0.008	 -0.321	 -0.178	 -0.127	  0.026
            439	 -0.262	132.617	 -0.023	 -0.320	 -0.178	 -0.123	 -0.003
            440	 -0.266	131.977	  0.021	 -0.319	 -0.178	 -0.120	  0.008
            441	 -0.264	131.230	 -0.006	 -0.318	 -0.179	 -0.118	  0.001
            442	 -0.280	130.590	  0.012	 -0.316	 -0.179	 -0.119	 -0.002
            443	 -0.264	129.843	 -0.001	 -0.316	 -0.179	 -0.119	 -0.002
            444	 -0.270	129.096	 -0.012	 -0.314	 -0.180	 -0.115	  0.015
            445	 -0.232	128.349	 -0.009	 -0.316	 -0.180	 -0.114	 -0.001
            446	 -0.224	127.816	  0.008	 -0.315	 -0.180	 -0.109	 -0.003
            447	 -0.248	127.069	 -0.011	 -0.315	 -0.180	 -0.108	 -0.004
            448	 -0.244	126.535	  0.002	 -0.315	 -0.181	 -0.107	  0.012
            449	 -0.260	125.682	  0.002	 -0.314	 -0.181	 -0.109	 -0.008
            450	 -0.256	125.148	 -0.005	 -0.315	 -0.182	 -0.107	  0.015
            451	 -0.262	124.508	  0.000	 -0.312	 -0.181	 -0.107	 -0.000
            452	 -0.250	123.761	 -0.006	 -0.312	 -0.181	 -0.104	  0.001
            453	 -0.232	123.228	  0.002	 -0.311	 -0.182	 -0.104	  0.000
            454	 -0.248	122.694	  0.009	 -0.310	 -0.182	 -0.102	  0.003
            455	 -0.246	122.054	 -0.003	 -0.308	 -0.183	 -0.105	  0.029
            456	 -0.246	121.414	  0.007	 -0.308	 -0.182	 -0.107	 -0.005
            457	 -0.262	120.987	 -0.001	 -0.306	 -0.182	 -0.110	  0.008
            458	 -0.272	120.134	  0.001	 -0.305	 -0.182	 -0.113	 -0.004
            459	 -0.270	119.387	  0.006	 -0.306	 -0.182	 -0.119	  0.015
            460	 -0.270	118.747	 -0.005	 -0.306	 -0.182	 -0.119	  0.003
            461	 -0.244	117.893	 -0.004	 -0.304	 -0.182	 -0.119	  0.005
            462	 -0.252	116.933	 -0.009	 -0.303	 -0.183	 -0.118	 -0.001
            463	 -0.248	115.866	  0.003	 -0.304	 -0.183	 -0.119	  0.001
            464	 -0.276	114.693	 -0.004	 -0.303	 -0.184	 -0.117	  0.003
            465	 -0.258	113.626	  0.006	 -0.302	 -0.184	 -0.119	  0.003
            466	 -0.228	112.132	  0.003	 -0.302	 -0.185	 -0.122	  0.008
            467	 -0.258	110.852	  0.002	 -0.301	 -0.186	 -0.123	  0.007
            468	 -0.222	109.358	 -0.012	 -0.300	 -0.186	 -0.120	  0.002
            469	 -0.240	107.758	 -0.003	 -0.299	 -0.186	 -0.113	 -0.005
            470	 -0.232	106.051	 -0.008	 -0.297	 -0.186	 -0.107	 -0.003
            471	 -0.232	104.344	  0.001	 -0.296	 -0.187	 -0.103	  0.007
            472	 -0.238	102.850	 -0.003	 -0.294	 -0.187	 -0.105	  0.001
            473	 -0.226	101.143	  0.003	 -0.293	 -0.187	 -0.105	  0.001
            474	 -0.218	 99.543	 -0.000	 -0.291	 -0.187	 -0.103	 -0.005
            475	 -0.222	 98.156	 -0.000	 -0.291	 -0.187	 -0.102	 -0.001
            476	 -0.216	 96.769	  0.001	 -0.291	 -0.187	 -0.100	  0.002
            477	 -0.208	 95.488	  0.000	 -0.291	 -0.187	 -0.100	  0.005
            478	 -0.200	 94.528	 -0.001	 -0.288	 -0.187	 -0.106	 -0.003
            479	 -0.206	 93.354	 -0.002	 -0.287	 -0.187	 -0.109	  0.009
            480	 -0.192	 92.608	  0.001	 -0.286	 -0.188	 -0.112	  0.001
            481	 -0.198	 91.861	  0.001	 -0.287	 -0.187	 -0.113	 -0.003
            482	 -0.216	 91.327	  0.000	 -0.286	 -0.187	 -0.109	  0.005
            483	 -0.192	 90.687	 -0.010	 -0.286	 -0.187	 -0.106	  0.018
            484	 -0.202	 90.474	 -0.020	 -0.287	 -0.187	 -0.104	 -0.013
            485	 -0.162	 90.367	 -0.004	 -0.284	 -0.187	 -0.105	  0.009
            486	 -0.146	 90.260	 -0.010	 -0.284	 -0.187	 -0.106	  0.002
            487	 -0.156	 90.260	  0.001	 -0.283	 -0.187	 -0.107	 -0.007
            488	 -0.180	 90.367	 -0.008	 -0.283	 -0.187	 -0.107	  0.001
            489	 -0.168	 90.474	 -0.008	 -0.281	 -0.188	 -0.103	 -0.001
            490	 -0.178	 90.687	 -0.001	 -0.280	 -0.188	 -0.102	  0.003
            491	 -0.184	 91.114	 -0.001	 -0.280	 -0.188	 -0.099	 -0.005
            492	 -0.162	 91.434	 -0.004	 -0.278	 -0.188	 -0.098	 -0.006
            493	 -0.172	 91.754	 -0.002	 -0.281	 -0.188	 -0.099	  0.001
            494	 -0.168	 92.074	 -0.001	 -0.280	 -0.188	 -0.102	  0.002
            495	 -0.178	 92.394	 -0.000	 -0.280	 -0.188	 -0.103	  0.006
            496	 -0.176	 92.714	 -0.009	 -0.278	 -0.188	 -0.100	  0.000
            497	 -0.176	 93.248	 -0.013	 -0.278	 -0.188	 -0.098	 -0.004
            498	 -0.182	 93.568	 -0.003	 -0.277	 -0.189	 -0.093	 -0.001
            499	 -0.190	 93.888	 -0.008	 -0.277	 -0.189	 -0.091	  0.001
            500	 -0.186	 94.101	 -0.009	 -0.278	 -0.189	 -0.092	  0.003
            501	 -0.206	 94.421	 -0.013	 -0.275	 -0.189	 -0.093	  0.003
            502	 -0.198	 94.528	 -0.009	 -0.275	 -0.189	 -0.097	  0.007
            503	 -0.176	 94.848	 -0.014	 -0.273	 -0.190	 -0.097	  0.006
            504	 -0.162	 94.848	 -0.020	 -0.273	 -0.189	 -0.097	  0.003
            505	 -0.166	 95.061	 -0.020	 -0.271	 -0.190	 -0.097	 -0.003
            506	 -0.176	 94.955	 -0.017	 -0.270	 -0.190	 -0.094	 -0.001
            507	 -0.176	 94.955	 -0.003	 -0.270	 -0.190	 -0.095	  0.003
            508	 -0.186	 94.955	 -0.000	 -0.270	 -0.190	 -0.094	  0.003
            509	 -0.172	 94.955	 -0.002	 -0.270	 -0.191	 -0.095	  0.017
            510	 -0.156	 94.741	 -0.000	 -0.269	 -0.191	 -0.099	 -0.006
            511	 -0.128	 94.528	 -0.003	 -0.269	 -0.192	 -0.102	  0.007
            512	 -0.102	 94.315	 -0.005	 -0.268	 -0.192	 -0.105	  0.003
            513	 -0.102	 94.101	 -0.002	 -0.266	 -0.193	 -0.105	 -0.003
            514	 -0.094	 93.781	  0.003	 -0.265	 -0.193	 -0.104	 -0.001
            515	 -0.068	 93.675	  0.002	 -0.264	 -0.193	 -0.103	  0.003
            516	 -0.078	 93.354	 -0.001	 -0.263	 -0.194	 -0.105	  0.012
            517	 -0.088	 92.928	 -0.003	 -0.262	 -0.194	 -0.104	  0.000
            518	 -0.074	 92.714	 -0.000	 -0.262	 -0.193	 -0.104	  0.007
            519	 -0.038	 92.181	  0.001	 -0.258	 -0.194	 -0.100	 -0.003
            520	  0.010	 91.861	  0.004	 -0.257	 -0.194	 -0.091	 -0.002
            521	  0.010	 91.541	 -0.002	 -0.257	 -0.194	 -0.094	 -0.001
            522	  0.048	 91.114	  0.005	 -0.256	 -0.194	 -0.094	  0.006
            523	  0.042	 90.794	 -0.002	 -0.257	 -0.193	 -0.097	  0.003
            524	  0.032	 90.260	  0.004	 -0.256	 -0.193	 -0.099	  0.003
            525	  0.032	 89.727	  0.001	 -0.257	 -0.193	 -0.100	  0.004
            526	  0.016	 89.407	  0.003	 -0.256	 -0.192	 -0.102	  0.002
            527	  0.022	 88.873	 -0.001	 -0.257	 -0.193	 -0.104	  0.002
            528	  0.022	 88.340	 -0.008	 -0.254	 -0.193	 -0.106	  0.032
            529	  0.006	 87.913	  0.004	 -0.254	 -0.193	 -0.107	 -0.004
            530	 -0.020	 87.486	 -0.005	 -0.253	 -0.193	 -0.107	  0.013
            531	 -0.054	 86.953	 -0.003	 -0.252	 -0.192	 -0.106	 -0.002
            532	 -0.104	 86.526	 -0.002	 -0.249	 -0.192	 -0.102	  0.001
            533	 -0.136	 86.206	 -0.007	 -0.248	 -0.192	 -0.103	  0.002
            534	 -0.202	 85.779	 -0.007	 -0.247	 -0.192	 -0.103	  0.004
            535	 -0.238	 85.246	 -0.012	 -0.246	 -0.193	 -0.105	  0.002
            536	 -0.250	 84.819	 -0.001	 -0.245	 -0.193	 -0.107	  0.013
            537	 -0.286	 84.286	 -0.009	 -0.244	 -0.193	 -0.109	 -0.007
            538	 -0.312	 83.966	  0.002	 -0.244	 -0.193	 -0.110	  0.009
            539	 -0.304	 83.646	  0.000	 -0.242	 -0.194	 -0.110	 -0.001
            540	 -0.270	 83.219	 -0.000	 -0.244	 -0.194	 -0.110	 -0.001
            541	 -0.264	 82.899	  0.004	 -0.243	 -0.194	 -0.109	 -0.004
            542	 -0.244	 82.365	 -0.006	 -0.241	 -0.194	 -0.108	  0.003
            543	 -0.260	 82.152	  0.001	 -0.241	 -0.194	 -0.105	  0.006
            544	 -0.286	 81.725	 -0.006	 -0.239	 -0.194	 -0.102	  0.008
            545	 -0.304	 81.298	 -0.008	 -0.236	 -0.195	 -0.100	 -0.002
            546	 -0.294	 81.192	 -0.007	 -0.235	 -0.194	 -0.100	  0.012
            547	 -0.298	 80.872	 -0.013	 -0.234	 -0.194	 -0.097	  0.002
            548	 -0.306	 80.445	 -0.004	 -0.235	 -0.195	 -0.096	 -0.007
            549	 -0.314	 80.125	 -0.011	 -0.232	 -0.195	 -0.095	 -0.004
            550	 -0.304	 80.018	 -0.012	 -0.234	 -0.195	 -0.097	 -0.001
            551	 -0.296	 79.805	 -0.006	 -0.232	 -0.194	 -0.102	  0.002
            552	 -0.300	 79.485	 -0.004	 -0.232	 -0.195	 -0.106	  0.008
            553	 -0.306	 79.378	  0.002	 -0.232	 -0.194	 -0.111	  0.006
            554	 -0.356	 79.058	 -0.008	 -0.231	 -0.194	 -0.113	  0.004
            555	 -0.358	 79.058	  0.001	 -0.231	 -0.195	 -0.120	  0.005
            556	 -0.402	 78.738	  0.002	 -0.230	 -0.194	 -0.125	  0.013
            557	 -0.368	 78.631	  0.009	 -0.229	 -0.194	 -0.127	 -0.006
            558	 -0.150	 78.418	  0.006	 -0.228	 -0.194	 -0.131	  0.009
            559	  0.140	 78.418	  0.015	 -0.227	 -0.194	 -0.135	  0.003
            560	  0.776	 78.204	  0.019	 -0.224	 -0.193	 -0.141	  0.004
            561	  1.482	 78.098	  0.023	 -0.224	 -0.194	 -0.153	  0.005
            562	  2.136	 77.884	  0.035	 -0.224	 -0.194	 -0.160	  0.014
            563	  2.320	 77.778	  0.041	 -0.223	 -0.193	 -0.166	  0.039
            564	  2.112	 77.778	  0.033	 -0.220	 -0.194	 -0.168	 -0.002
            565	  1.528	 77.564	  0.038	 -0.219	 -0.194	 -0.164	  0.011
            566	  0.696	 77.564	  0.013	 -0.219	 -0.194	 -0.156	  0.001
            567	 -0.104	 77.351	  0.007	 -0.217	 -0.194	 -0.146	 -0.007
            568	 -0.424	 77.137	  0.001	 -0.216	 -0.194	 -0.134	  0.004
            569	 -0.772	 77.137	 -0.002	 -0.216	 -0.194	 -0.125	 -0.001
            570	 -0.838	 77.031	 -0.004	 -0.218	 -0.194	 -0.117	  0.001
            571	 -0.802	 76.817	 -0.008	 -0.219	 -0.194	 -0.113	 -0.004
            572	 -0.726	 76.711	 -0.007	 -0.218	 -0.194	 -0.111	  0.015
            573	 -0.676	 76.284	  0.004	 -0.219	 -0.195	 -0.112	 -0.010
            574	 -0.618	 76.284	  0.002	 -0.215	 -0.194	 -0.113	  0.008
            575	 -0.546	 76.177	  0.006	 -0.215	 -0.194	 -0.117	 -0.003
            576	 -0.504	 76.177	  0.002	 -0.213	 -0.195	 -0.119	 -0.006
            577	 -0.498	 75.750	  0.007	 -0.212	 -0.195	 -0.121	 -0.004
            578	 -0.518	 75.750	  0.003	 -0.211	 -0.195	 -0.124	  0.017
            579	 -0.490	 75.537	 -0.001	 -0.212	 -0.195	 -0.126	 -0.012
            580	 -0.504	 75.324	  0.000	 -0.211	 -0.195	 -0.121	  0.006
            581	 -0.492	 75.217	 -0.004	 -0.211	 -0.195	 -0.120	 -0.003
            582	 -0.466	 75.110	 -0.008	 -0.210	 -0.195	 -0.120	 -0.006
            583	 -0.458	 74.897	 -0.006	 -0.210	 -0.195	 -0.116	  0.002
            584	 -0.472	 74.790	 -0.012	 -0.210	 -0.195	 -0.117	  0.004
            585	 -0.466	 74.470	 -0.012	 -0.208	 -0.195	 -0.116	  0.002
            586	 -0.448	 74.363	 -0.014	 -0.207	 -0.195	 -0.113	  0.003
            587	 -0.448	 74.150	 -0.013	 -0.206	 -0.194	 -0.113	  0.003
            588	 -0.424	 74.043	 -0.008	 -0.206	 -0.195	 -0.114	  0.008
            589	 -0.448	 73.937	 -0.013	 -0.205	 -0.195	 -0.116	  0.004
            590	 -0.418	 73.617	 -0.013	 -0.205	 -0.195	 -0.117	  0.015
            591	 -0.402	 73.403	 -0.009	 -0.204	 -0.195	 -0.119	  0.002
            592	 -0.412	 73.297	 -0.008	 -0.204	 -0.195	 -0.118	  0.006
            593	 -0.424	 73.190	 -0.006	 -0.203	 -0.195	 -0.119	 -0.002
            594	 -0.388	 73.083	 -0.010	 -0.203	 -0.195	 -0.116	 -0.005
            595	 -0.420	 72.977	 -0.006	 -0.201	 -0.195	 -0.115	  0.002
            596	 -0.358	 72.763	 -0.011	 -0.199	 -0.195	 -0.110	  0.005
            597	 -0.348	 72.763	 -0.005	 -0.198	 -0.195	 -0.107	  0.003
            598	 -0.376	 72.443	 -0.002	 -0.198	 -0.195	 -0.100	  0.000
            599	 -0.360	 72.443	  0.006	 -0.197	 -0.195	 -0.098	  0.000
            600	 -0.372	 72.336	 -0.004	 -0.197	 -0.195	 -0.097	  0.003
            601	 -0.346	 72.443	  0.006	 -0.195	 -0.195	 -0.098	  0.004
            602	 -0.328	 72.336	  0.009	 -0.194	 -0.195	 -0.100	  0.003
            603	 -0.358	 72.443	  0.001	 -0.191	 -0.195	 -0.101	  0.004
            604	 -0.320	 72.656	  0.011	 -0.190	 -0.195	 -0.101	  0.006
            605	 -0.330	 72.977	  0.002	 -0.190	 -0.195	 -0.102	  0.006
            606	 -0.324	 73.617	  0.003	 -0.190	 -0.195	 -0.104	  0.007
            607	 -0.322	 74.363	  0.002	 -0.189	 -0.195	 -0.109	  0.005
            608	 -0.298	 75.324	  0.006	 -0.187	 -0.195	 -0.110	  0.008
            609	 -0.310	 76.604	  0.000	 -0.188	 -0.195	 -0.114	  0.006
            610	 -0.296	 78.311	  0.003	 -0.187	 -0.195	 -0.114	 -0.001
            611	 -0.288	 80.125	  0.012	 -0.187	 -0.196	 -0.116	  0.008
            612	 -0.272	 82.152	  0.005	 -0.186	 -0.196	 -0.118	  0.010
            613	 -0.256	 84.499	  0.005	 -0.186	 -0.196	 -0.122	 -0.008
            614	 -0.260	 87.060	  0.006	 -0.182	 -0.196	 -0.123	 -0.003
            615	 -0.252	 89.620	 -0.001	 -0.182	 -0.196	 -0.123	 -0.000
            616	 -0.224	 92.394	  0.001	 -0.182	 -0.196	 -0.124	  0.004
            617	 -0.236	 95.275	  0.004	 -0.181	 -0.196	 -0.123	  0.003
            618	 -0.208	 98.369	 -0.002	 -0.180	 -0.196	 -0.124	  0.004
            619	 -0.210	101.463	 -0.000	 -0.177	 -0.197	 -0.125	  0.005
            620	 -0.184	104.557	 -0.011	 -0.178	 -0.197	 -0.123	  0.005
            621	 -0.184	107.544	 -0.006	 -0.176	 -0.198	 -0.120	  0.003
            622	 -0.160	110.745	 -0.004	 -0.174	 -0.198	 -0.113	  0.012
